id,Название,Картинка,Active
23,Демоническая шкура,Demonic_skin.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/b5KLCULUy0XgEXt0ZKN3J8zltKz3dJTo_a4b8c3be1fea3e193b1dbfee8f875a663961bf7b5b0e20f1271f621c61039a29.png),False
24,Маска культиста,Mask.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/IULcyuz49bMlZdExFF64b3AOKj2vzM7z_8edcdc2bd48b91e34e5e9f1d793d04006cc4777a5317af3138e1581a024ddc95.png),False
25,Перстень паладина,Paladin_ring.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/9A7x8WQhvSQMdiExCGDx04t3fKC8aFc3_0aba1587183ccabd9d02d1b7db328089f53d8b28c524d48456e4dde25125adfb.png),False
26,Перчатки некроманта,Necro_gloves.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/o2NIyU08WPrbUNOhst1ChzP81745TYhj_201a9773a60087079bf5a5ba0b6e94faf9b450bd53e9f72459fad5b403510048.png),False
27,Браслет легиона,Legion_bracelet.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/4SKammmzQdgLNqniasq89xEsf0axoKqA_8e86ece594890ad4a64165f01346190e82ca79ac1836409549f4460a0193b882.png),False
28,Плащ мастера,Master_сloak.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/ov2I3xWkXIZEALZnYWE7uQUoJ5lZp0I5_45ee76e5e770d829d09ba0ca42ba1c15dd919fb49e12419749bc0a2076adaed2.png),False
29,Книга_I,Book_1.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/30b9c8m2OeEoszKjKxqzVSDm4IF58JrV_b6c947828d1fa2f4a857e10816f81c8f6186be54e4a87fcc456501e0de04beea.png),False
30,Книга_II,Book_2.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/DtJxqvflR9vHOHsM3g0fbHWcE05q8J45_72bee410f1298ab30c08a22d1277c4c3c79070cb449921809be1dc3f07db9fd2.png),False
31,Книга_III,Book_3.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/A7rGFsFxFFTFmEOYWMFAOHEzB6WeY6ry_872a41016cbd3433d5b343fd6d2349cdd8dd2d51864068c9ffc269b22fb22efd.png),False
32,Книга_IV,Book_4.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/jhfBpLZnlz6YQjF4zv8Y98ymtARqDK3P_03be6b3fec14def246a377989606f088e6bd745ac59106d6ce5f7ae2ce258eb6.png),False
33,Книга_V,Book_5.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/mUPIteco0HA9F0GfK0QjlzJ6vqmFYVuT_db83617249030a70d0b3c112f2973e74850b7c6a1f13b0fdc08eb690de0cad6a.png),False
34,Варвар,Варвар.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/L4ByeJFkfo8Pfl4JdlxZForlK5PYd5Hz_a29e2f248c74330de63eee26e837faecb80bea37d2cbc83be43d5ff25771874e.png),False
35,Воин,Воин.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/wUc52KWdGg3svloiSbyNfVe2hPGzagbJ_b5f320e5c7b30b7c244063226a5d48e7639b0791ed39f034ea66e631d44edc08.png),False
36,Волшебник,Волшебник.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/f5b02PNnm9fdOT2BnlXrIkEFNFs2gt0q_ef602564d94b98b3e23cb07a30d8557d98fafd50ac5e54f13719fc648c782ce6.png),False
37,Друид,Друид.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/jxm1MSG2fMBdJ5ZK8FrDi1pvB9lvDz2X_2aa339ccbb8c64c2ae7137e918ccb4d2e0702ab946a45a4dc1e99125020b297a.png),False
38,Жрец,Жрец.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/wDf6g2IkwEHNKjAGDE4djOabFybNc9R3_8b881c99fb557357d9e63f7ee76eaf8d3d544ccd622a7d55fcf08f38db47f683.png),False
39,Монах,Монах.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/gGTiIkbwx6PIQHfRaFujuHdV4qYwANe8_ad69b22ed32dd45a1e380d312ebe45e03d83cf6556b6d2db421539b726edeace.png),False
40,Паладин,Паладин.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/f8CjSeMWg4ECRPEig4ChspxYmbOyVf0W_d77ef02f36e97b3d71e053a0ababc68d632b63bcaea9181be6728f8928bde2aa.png),False
41,Следопыт,Следопыт.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/NlPY5fW1xcEwoq9tcTHUMm8gGo5ZJ2Xt_4e551ff562dec2d440bdd0648085c439f54cbfbc6ab879ad098912505ba18fd2.png),False
42,Разбойник,Разбойник.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/KqgT9SutvAdX7CqkqTwoYtCaJy4bUaZo_b48018e95e6b412e0ad71ebb9fa2289d2b827a3e8420c2dfcef12b098316d8e5.png),False
43,Чернокнижник,Чернокнижник.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/Q4MP7Ggdc6zPK91uHoAzdFOvBh6IU8eq_336f8aa532a4e8a26c1d650d9adabdc95fd5f16e3d6c718ad863839dba308ce4.png),False
44,Sword_icon_dark,Sword_icon_dark.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/gllL6hA7DCrheRotrjwMcUBdhHJBkNjD_8ba1f682191d050aedc86c69d7e4560686611677b317608f394a02c337ed1de1.svg),False
45,Health_icon_dark,Health_icon_dark.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/kOIG4kluRjp8R9YYdRhrbzc9yBbKXF7q_a42e6d20f7225db05f5e6dc9e2d61aff8f478e24523d3e77617b9ddedd44341d.svg),False
46,Shield_icon_dark,Shield_icon_dark.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/I2KgfgksC7rQkmeLwyhNXecvFLwOT7Tv_7cf1eeb5551251f6cc76573222f9651d4fb64b7ec517cee5a4635de6568d05d5.svg),False
47,Star_icon,Star_icon.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/pT6nD4eBcSwbizFIyHYXJJbLjkavvGNR_f366e9997e66d9418f51ccf4ddfe49271ad72221ed6aeb16b74c9ac34b6d987d.svg),False
48,Upgrade_icon,Upgrade_icon.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/YpiBSmwAWmBJR2EnXfdUKY6GUZCOxZCP_aa2bee0d91297c694915411d9606c3cbfc6882ea5980a5e7956f489c8a92b6bb.svg),False
49,TalantTree_icon,TalantTree_icon.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/B8DMifczdAzQiFisHhqXRU5Gk5gmFRWj_5ff6b7ccab8b189f829ce3b4bc0974e78a764f0c83b248388c2037444dd873e5.svg),False
50,Right_button,Right_button.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8S0ATEG5iho4Ju5dA7KigtA8Nh7JrU0T_7b80e25a3047a3d29db7bfb6ae140419e9b9fd78564c564a56be5ee0504acf08.svg),False
51,Close_button,Close_button.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/1JloJsINhTuYWvApc0gJLw26LJ6Hx6WS_0690793eb707616c15b69c203e81198189d15d6d14c19b2980df38e984157004.svg),False
52,Left_button,Left_button.svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/62cPSz2QowTMBOtrDULyTpqMU4K3MzAU_fb34a88f6b1ea212792622db2a7cdd0b9824f5ea5891477a12a71b44dd1cdf3c.svg),False
53,Health_icon_ffffff,Health_icon_16x16 (1).svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/ohNlEwuhQObHjsOtoUUZzPHAYYYyKKJ5_7127f97496b6bc652dd724d9e0fdcea2dca03afaa364aa17481897bda58665d3.svg),False
54,Shield_icon_ffffff,Shield_icon_16x16 (1).svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/xlNfrEBrB3pYmfkczHLpRCy8HqXGqhDm_e00cf0fd07b0a7d06eaaed24fee2ba92509c12cfbb684f6c5ff4cb4498cbc807.svg),False
55,Sword_icon_ffffff,Sword_icon_16x16 (1).svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/YeSyw0QuIvRgpOrMU4uNGFLq6uV4YCFP_668ad0468f4d19bd1b8bbed7cd12d8c1cbcda5726c5f26f073af9e9eabca7894.svg),False
56,Фавикон,favicon_GG_32x32 (1).svg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/a4KNHkQNDQ9VgyegesASivpbsju5FvmF_06263f1e0f8bdd9909bace7b430279093a31987790adc9b0db15146a47296c58.svg),False
